latitude	longitude	mag
36.5998	-121.2113	3.4
36.6463	-121.2705	2.6
43.4906	-111.0564	3.8
35.8347	-117.6975	2.3
31.2658	-115.5745	3.1
40.326	-124.3258	2.9
37.5135	-118.8698	2
39.7233	-122.8557	2
34.0707	-116.7665	2.4
35.8338	-121.1935	2.6
38.8373	-122.7518	2.1
38.8342	-122.7532	2
38.1198	-118.1346	2.14
33.6583	-118.4128	2.1
40.2955	-124.482	2.4
44.9095	-113.9796	2
31.2453	-115.6183	2.9
36.623	-121.1602	2.9
41.6033	-111.6838	3.6
40.7137	-122.4907	3
37.3835	-118.6777	2.9
40.3848	-124.9767	2.4
38.4187	-118.7618	2.09
41.5093	-111.7033	2.4
38.4149	-118.7438	2.57
38.4227	-118.7432	2.63
37.3893	-118.6782	2.6
37.3902	-118.6777	2.2
36.6233	-121.1587	2.7
38.8433	-117.8951	2.52
37.667	-122.4903	2
32.138	-117.4388	2.3
38.9595	-111.4057	2.1
33.6787	-116.7152	2.9
37.4603	-118.7477	2.2
36.6442	-121.2635	2.1
39.0777	-119.0483	2.22
38.8408	-122.831	2.1
38.8412	-122.8293	2.1
39.2795	-115.5941	2.62
35.1315	-119.1588	2.1
34.0335	-117.2355	2.1
40.2385	-121.1505	2.7
39.583	-118.1759	2.83
36.8227	-120.9255	2.2
33.8847	-118.3688	2.3
31.387	-115.4887	2.9
38.4068	-122.6182	2
40.7102	-122.4827	2.3
36.143	-118.4105	2
39.5676	-118.1784	2.7
40.704	-122.4997	2
36.6185	-121.228	2.3
40.7105	-122.4862	2.1
40.7083	-122.4832	2
33.2062	-115.674	2.4
40.7158	-122.4978	2.1
36.6985	-121.3353	2.4
38.8068	-122.8155	2
37.5258	-118.8517	2.1
38.7937	-122.8077	2.5
40.7077	-122.4892	2
37.8862	-122.2318	2.6
37.8837	-122.2242	2.7
37.8827	-122.2305	3.2
44.3568	-115.7323	2.7
36.1517	-118.0683	3.2
40.4007	-125.4605	3.3
40.1833	-121.0483	2.3
40.1903	-121.046	2.2
41.7185	-109.9087	3.4
40.4202	-125.899	2.7
33.2042	-115.677	2.6
33.2053	-115.6727	2.2
33.203	-115.6623	2
33.204	-115.677	3
33.2015	-115.676	3.6
33.2008	-115.6777	2.7
37.477	-121.8158	2.4
37.41	-121.7563	2
33.1987	-115.6792	2.1
33.2018	-115.677	2.2
33.2023	-115.6783	2.7
33.1995	-115.6767	2.2
33.1998	-115.6747	2.9
33.2032	-115.6745	2.7
33.2078	-115.676	2.6
33.205	-115.6748	3
36.1518	-118.0707	2
36.1513	-118.0713	2.8
37.3795	-118.4018	3.1
37.3845	-118.4063	2.1
33.205	-115.672	2.5
38.0258	-118.1791	2.26
32.6678	-115.91	2.4
32.6448	-118.1192	2.2
32.68	-118.1177	2.7
41.0947	-124.9243	2.5
33.004	-116.2363	2.2
32.5202	-115.269	2.1
37.0875	-112.9125	2.1
37.5247	-118.8513	2.8
38.799	-122.8107	2.4
38.9051	-115.3481	3.64
38.8222	-122.793	2.7
40.9835	-124.7498	4.9
40.19	-121.0465	2.6
37.5267	-118.851	2.3
38.0182	-118.1154	2.91
38.5982	-112.6083	2
36.0328	-119.8423	2.2
37.5265	-118.8538	2.2
37.5273	-118.8537	3.4
41.2412	-118.6513	2.69
37.5253	-118.8552	2.1
37.5275	-118.8535	2.6
37.5262	-118.8522	3.1
38.007	-118.1346	2.27
40.2787	-124.3943	2
35.6572	-118.4735	2
38.6018	-112.6063	2.4
33.9802	-116.437	2.3
38.6065	-112.6128	2.5
38.007	-118.1346	2.42
38.8108	-122.8235	2.7
38.5972	-112.5982	2
35.659	-118.4727	2.4
38.0201	-118.1397	2.17
38.9042	-111.5295	2.1
34.7078	-116.295	2.1
35.6592	-118.4725	3.4
38.8093	-122.8187	2.1
38.8418	-122.772	2.1
38.8355	-122.7693	2.7
33.19	-115.611	2.2
33.1885	-115.6073	2
33.1903	-115.6085	2.3
37.2345	-119.5677	2.4
34.0332	-117.246	2.1
38.9603	-111.3968	2
33.7958	-117.6445	2.6
32.324	-115.2998	3
38.7805	-122.7483	2.7
36.642	-121.2632	2.9
38.118	-115.9002	2.17
37.4755	-118.8447	2.2
37.4142	-121.7643	2.1
40.7928	-124.4155	2.5
38.8357	-122.7815	2.6
38.9623	-123.1983	2.4
40.2915	-124.5367	2.6
40.3052	-124.4877	2.6
38.8307	-122.8063	2.7
40.4075	-122.0778	2.5
33.9475	-116.744	2.5
39.3312	-121.8962	2
38.7765	-122.7195	2.5
35.9892	-117.2893	2.7
36.7293	-120.0278	2.5
38.8392	-122.83	2
32.2452	-115.3158	2.4
35.0328	-117.6763	2.1
32.2557	-115.3212	2.8
35.9862	-117.2907	2.6
38.8342	-122.8105	2.1
36.1128	-120.0275	2.2
32.2215	-115.2775	2.3
37.8837	-122.2327	3
33.7785	-115.9762	2.5
32.1927	-115.2222	2.6
34.7145	-116.2917	2.7
34.7127	-116.2952	2.4
32.9152	-115.8633	2.9
40.7017	-124.8103	2.2
34.7135	-116.2978	2.9
34.7105	-116.2948	3.6
39.4197	-123.2778	2.4
32.9735	-116.0705	2.8
40.14	-121.0722	2.5
33.738	-120.0765	2.7
34.7125	-116.2962	2
34.7147	-116.295	2.1
34.7123	-116.2933	2.1
34.7158	-116.298	2.1
34.7127	-116.2925	2.3
34.6982	-116.2957	2.5
34.6992	-116.2927	2.1
34.7117	-116.2947	2.4
34.7091667	-116.2938333	4.28
33.8007	-117.6427	2.3
33.7958	-117.6405	2.9
33.6947	-116.7093	2.3
33.6947	-116.717	2.5
33.6237	-116.7488	2.5
38.806	-122.8178	2.2
38.5295	-122.6023	2
40.3077	-124.445	2.6
35.569	-118.5347	2.4
38.8378	-122.8385	2.3
33.6993	-119.0435	2.5
36.7378	-121.3607	2.6
32.9352	-115.5428	2.4
36.5422	-121.133	2
36.544	-121.133	2.1
36.544	-121.134	2.9
40.1812	-120.9905	2.8
29.717	-113.889	4.3
45.165	-123.092	2.2
40.4365	-124.1527	3.9
40.4443	-119.3755	2.24
33.7998	-117.6842	3
34.4463	-119.2208	2
35.141	-119.1407	2.2
34.1387	-118.3648	2.1
40.7455	-122.311	2
33.9453	-116.7353	2.2
39.6712	-122.1263	2.2
38.8153	-122.8127	2.4
37.029	-110.8122	2.2
34.7128	-116.2938	2.1
37.3263	-122.0972	2.4
38.8328	-122.8005	3.1
44.551	-117.4118	2.4
40.2885	-124.3973	2.2
37.495	-118.7358	2.4
35.5885	-118.5463	2.1
